case,period,dataset,sample_id,seed,mirror_energy,target_energy,error_energy,hamai_error_db,status,reason
pure_periodic_mirror_error,8,librispeech_test_clean,sample_007,-1,5.6895003569918465,141.20037040354714,5.689512832314465,-9.522730456773108e-06,ok,
pure_periodic_mirror_error,8,librispeech_test_clean,sample_008,-1,13.846586281604214,353.10366876973774,13.84661747898688,-9.784964758133243e-06,ok,
pure_periodic_mirror_error,8,librispeech_test_clean,sample_009,-1,9.425132176117312,235.16117327686635,9.425152953056298,-9.573658849325543e-06,ok,
pure_periodic_mirror_error,8,librispeech_test_clean,sample_010,-1,2.1686202509676686,55.630606516055934,2.1686251660378275,-9.843057714676802e-06,ok,
pure_periodic_mirror_error,8,timit,sample_001,-1,1.6084907901480805,40.28695414913285,1.6084943495774442,-9.610492210939897e-06,ok,
pure_periodic_mirror_error,8,timit,sample_002,-1,0.6160892657371959,15.278584015351486,0.6160906156293002,-9.515667329874548e-06,ok,
pure_periodic_mirror_error,8,timit,sample_003,-1,0.2978338952000277,7.406619209070241,0.2978345495889909,-9.542137685585424e-06,ok,
pure_periodic_mirror_error,8,timit,sample_004,-1,0.17973099272885235,4.672993168401532,0.1797314055967003,-9.976355188224741e-06,ok,
pure_periodic_mirror_error,8,timit,sample_005,-1,0.12546194750072623,3.1687300924545587,0.12546222746407695,-9.691097987772335e-06,ok,
pure_periodic_mirror_error,8,timit,sample_006,-1,0.19042712578846813,4.7031186876806235,0.1904275413179975,-9.476695299192688e-06,ok,
pure_periodic_mirror_error,8,timit,sample_007,-1,0.14159505241256987,3.3086856937039393,0.14159534474130242,-8.96617658804351e-06,ok,
pure_periodic_mirror_error,8,timit,sample_008,-1,0.5954643928520654,13.913023487987573,0.5954656220943999,-8.965315443766754e-06,ok,
pure_periodic_mirror_error,8,timit,sample_009,-1,0.7750456916912941,18.480081968065797,0.7750473244419714,-9.149058825351784e-06,ok,
pure_periodic_mirror_error,8,timit,sample_010,-1,0.22888803663522664,5.7365333919960175,0.22888854346890863,-9.616703033596222e-06,ok,
